year_film,year_ceremony,ceremony,category,nominee,film,winner
2014,2015,72,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ethan Hawke,Boyhood,False
2014,2015,72,Best Director - Motion Picture,Richard Linklater,Boyhood,True
2014,2015,72,Best Screenplay - Motion Picture,Richard Linklater,Boyhood,False
2014,2015,72,Best Performance by an Actor in a Supporting Role in any Motion Picture,J.K. Simmons,Whiplash,True
2014,2015,72,Best Performance by an Actress in a Motion Picture - Drama,Rosamund Pike,Gone Girl,False
2014,2015,72,Best Director - Motion Picture,David Fincher,Gone Girl,False
2014,2015,72,Best Screenplay - Motion Picture,Gillian Flynn,Gone Girl,False
2014,2015,72,Best Original Score - Motion Picture,"Trent Reznor, Atticus Ross",Gone Girl,False
2014,2015,72,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,St. Vincent,False
2014,2015,72,Best Performance by an Actor in a Motion Picture - Drama,Jake Gyllenhaal,Nightcrawler,False
2015,2016,73,Best Performance by an Actress in a Supporting Role in any Motion Picture,Alicia Vikander,Ex Machina,False
2014,2015,72,Best Performance by an Actor in a Motion Picture - Drama,Benedict Cumberbatch,The Imitation Game,False
2014,2015,72,Best Performance by an Actress in a Supporting Role in any Motion Picture,Keira Knightley,The Imitation Game,False
2014,2015,72,Best Screenplay - Motion Picture,Graham Moore,The Imitation Game,False
2014,2015,72,Best Original Score - Motion Picture,Alexandre Desplat,The Imitation Game,False
2014,2015,72,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix,Inherent Vice,False
2014,2015,72,Best Original Song - Motion Picture,"""Yellow Flicker Beat"", Lorde, Joel Little",The Hunger Games: Mockingjay - Part 1,False
2014,2015,72,Best Performance by an Actress in a Motion Picture - Drama,Felicity Jones,The Theory of Everything,False
2014,2015,72,Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne,The Theory of Everything,True
2014,2015,72,Best Original Score - Motion Picture,Jóhann Jóhannsson,The Theory of Everything,True
2014,2015,72,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,Still Alice,True
2014,2015,72,Best Performance by an Actor in a Motion Picture - Drama,David Oyelowo,Selma,False
2014,2015,72,Best Director - Motion Picture,Ava DuVernay,Selma,False
2014,2015,72,Best Original Song - Motion Picture,"""Glory"", Common, John Legend",Selma,True
2014,2015,72,Best Performance by an Actress in a Motion Picture - Drama,Reese Witherspoon,Wild,False
2014,2015,72,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Big Eyes,True
2014,2015,72,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christoph Waltz,Big Eyes,False
2014,2015,72,Best Original Song - Motion Picture,"""Big Eyes"", Lana Del Rey, Daniel Heath",Big Eyes,False
2014,2015,72,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emily Blunt,Into the Woods,False
2014,2015,72,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,Into the Woods,False
2015,2016,73,Best Director - Motion Picture,George Miller,Mad Max: Fury Road,False
2016,2017,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Reynolds,Deadpool,False
2014,2015,72,Best Performance by an Actress in a Motion Picture - Drama,Jennifer Aniston,Cake,False
2015,2016,73,Best Original Song - Motion Picture,"""Love Me Like You Do"", Tove Lo, Max Martin, Savan Kotecha, Ali Payami, Ilya Salmanzadeh",Fifty Shades of Grey,False
2015,2016,73,Best Performance by an Actress in a Motion Picture - Drama,Saoirse Ronan,Brooklyn,False
2015,2016,73,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Jason Leigh,The Hateful Eight,False
2015,2016,73,Best Screenplay - Motion Picture,Quentin Tarantino,The Hateful Eight,False
2015,2016,73,Best Original Score - Motion Picture,Ennio Morricone,The Hateful Eight,True
2015,2016,73,Best Original Song - Motion Picture,"""See You Again"", DJ Frank E, Andrew Cedar, Charlie Puth, Wiz Khalifa",Furious 7,False
2015,2016,73,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Al Pacino,Danny Collins,False
2015,2016,73,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Carol,False
2015,2016,73,Best Performance by an Actress in a Motion Picture - Drama,Rooney Mara,Carol,False
2015,2016,73,Best Director - Motion Picture,Todd Haynes,Carol,False
2015,2016,73,Best Original Score - Motion Picture,Carter Burwell,Carol,False
2015,2016,73,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matt Damon,The Martian,True
2015,2016,73,Best Director - Motion Picture,Ridley Scott,The Martian,False
2015,2016,73,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jane Fonda,Youth,False
2015,2016,73,Best Original Song - Motion Picture,"""Simple Song #3"", David Lang",Youth,False
2015,2016,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Melissa McCarthy,Spy,False
2015,2016,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Schumer,Trainwreck,False
2015,2016,73,Best Original Song - Motion Picture,"""Writing's On The Wall"", Sam Smith, Jimmy Napes",Spectre,True
2015,2016,73,Best Performance by an Actor in a Motion Picture - Drama,Michael Fassbender,Steve Jobs,False
2015,2016,73,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Steve Jobs,True
2015,2016,73,Best Screenplay - Motion Picture,Aaron Sorkin,Steve Jobs,True
2015,2016,73,Best Original Score - Motion Picture,Daniel Pemberton,Steve Jobs,False
2015,2016,73,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Revenant,True
2015,2016,73,Best Director - Motion Picture,Alejandro González Iñárritu,The Revenant,True
2015,2016,73,Best Original Score - Motion Picture,"Ryuichi Sakamoto, Alva Noto",The Revenant,False
2015,2016,73,Best Performance by an Actress in a Motion Picture - Drama,Brie Larson,Room,True
2015,2016,73,Best Screenplay - Motion Picture,Emma Donoghue,Room,False
2015,2016,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Joy,True
2015,2016,73,Best Performance by an Actress in a Motion Picture - Drama,Alicia Vikander,The Danish Girl,False
2015,2016,73,Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne,The Danish Girl,False
2015,2016,73,Best Original Score - Motion Picture,Alexandre Desplat,The Danish Girl,False
2015,2016,73,Best Performance by an Actor in a Supporting Role in any Motion Picture,Idris Elba,Beasts of No Nation,False
2015,2016,73,Best Director - Motion Picture,Tom McCarthy,Spotlight,False
2015,2016,73,Best Screenplay - Motion Picture,"Tom McCarthy, Josh Singer",Spotlight,False
2015,2016,73,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mark Rylance,Bridge of Spies,False
2015,2016,73,Best Performance by an Actor in a Motion Picture - Drama,Bryan Cranston,Trumbo,False
2015,2016,73,Best Performance by an Actress in a Supporting Role in any Motion Picture,Helen Mirren,Trumbo,False
2015,2016,73,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,Concussion,False
2015,2016,73,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sylvester Stallone,Creed,True
2016,2017,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Florence Foster Jenkins,False
2016,2017,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Florence Foster Jenkins,False
2016,2017,74,Best Performance by an Actor in a Supporting Role in any Motion Picture,Simon Helberg,Florence Foster Jenkins,False
2016,2017,74,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Captain Fantastic,False
2016,2017,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jonah Hill,War Dogs,False
2016,2017,74,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jeff Bridges,Hell or High Water,False
2016,2017,74,Best Screenplay - Motion Picture,Taylor Sheridan,Hell or High Water,False
2016,2017,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Hailee Steinfeld,The Edge of Seventeen,False
2016,2017,74,Best Performance by an Actress in a Motion Picture - Drama,Isabelle Huppert,Elle,True
2016,2017,74,Best Performance by an Actor in a Motion Picture - Drama,Andrew Garfield,Hacksaw Ridge,False
2016,2017,74,Best Director - Motion Picture,Mel Gibson,Hacksaw Ridge,False
2016,2017,74,Best Performance by an Actress in a Motion Picture - Drama,Amy Adams,Arrival,False
2016,2017,74,Best Original Score - Motion Picture,Jóhann Jóhannsson,Arrival,False
2016,2017,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,La La Land,True
2016,2017,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,La La Land,True
2016,2017,74,Best Director - Motion Picture,Damien Chazelle,La La Land,True
2016,2017,74,Best Screenplay - Motion Picture,Damien Chazelle,La La Land,True
2016,2017,74,Best Original Score - Motion Picture,Justin Hurwitz,La La Land,True
2016,2017,74,Best Original Song - Motion Picture,"""City of Stars"", Justin Hurwitz, Benj Pasek, Justin Paul",La La Land,True
2016,2017,74,Best Performance by an Actor in a Motion Picture - Drama,Casey Affleck,Manchester by the Sea,True
2016,2017,74,Best Performance by an Actress in a Supporting Role in any Motion Picture,Michelle Williams,Manchester by the Sea,False
2016,2017,74,Best Director - Motion Picture,Kenneth Lonergan,Manchester by the Sea,False
2016,2017,74,Best Screenplay - Motion Picture,Kenneth Lonergan,Manchester by the Sea,False
2016,2017,74,Best Performance by an Actress in a Supporting Role in any Motion Picture,Nicole Kidman,Lion,False
2016,2017,74,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dev Patel,Lion,False
2016,2017,74,Best Original Score - Motion Picture,"Dustin O'Halloran, Hauschka",Lion,False
2016,2017,74,Best Original Song - Motion Picture,"""How Far I'll Go"", Lin-Manuel Miranda",Moana,False
2016,2017,74,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Miss Sloane,False
2016,2017,74,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,Hidden Figures,False
2016,2017,74,Best Original Score - Motion Picture,"Hans Zimmer, Pharrell Williams, Benjamin Wallfisch",Hidden Figures,False
2016,2017,74,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Fences,False
2016,2017,74,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viola Davis,Fences,True
2016,2017,74,Best Original Song - Motion Picture,"""Faith"", Stevie Wonder, Ryan Tedder, Francis and the Lights",Sing,False
2017,2018,75,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Kaluuya,Get Out,False
2017,2018,75,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary J. Blige,Mudbound,False
2017,2018,75,Best Original Song - Motion Picture,"""Mighty River"", Raphael Saadiq, Taura Stinson, Mary J. Blige",Mudbound,False
2001,2002,59,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Damian Lewis,Band of Brothers,False
2001,2002,59,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ron Livingston,Band of Brothers,False
2017,2018,75,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ansel Elgort,Baby Driver,False
2017,2018,75,Best Director - Motion Picture,Christopher Nolan,Dunkirk,False
2017,2018,75,Best Original Score - Motion Picture,Hans Zimmer,Dunkirk,False
2017,2018,75,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Saoirse Ronan,Lady Bird,True
2017,2018,75,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laurie Metcalf,Lady Bird,False
2017,2018,75,Best Screenplay - Motion Picture,Greta Gerwig,Lady Bird,False
2017,2018,75,Best Original Song - Motion Picture,"""Remember Me"", Kristen Anderson Lopez, Robert Lopez",Coco,False
2017,2018,75,Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman,Darkest Hour,True
2017,2018,75,Best Performance by an Actress in a Motion Picture - Drama,Sally Hawkins,The Shape of Water,False
2017,2018,75,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,The Shape of Water,False
2017,2018,75,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Jenkins,The Shape of Water,False
2017,2018,75,Best Director - Motion Picture,Guillermo del Toro,The Shape of Water,True
2017,2018,75,Best Screenplay - Motion Picture,"Guillermo del Toro, Vanessa Taylor",The Shape of Water,False
2017,2018,75,Best Original Score - Motion Picture,Alexandre Desplat,The Shape of Water,True
2017,2018,75,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Molly's Game,False
2017,2018,75,Best Screenplay - Motion Picture,Aaron Sorkin,Molly's Game,False
2017,2018,75,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The Post,False
2017,2018,75,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,The Post,False
2017,2018,75,Best Director - Motion Picture,Steven Spielberg,The Post,False
2017,2018,75,Best Screenplay - Motion Picture,"Liz Hannah, Josh Singer",The Post,False
2017,2018,75,Best Original Score - Motion Picture,John Williams,The Post,False
2017,2018,75,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,The Greatest Showman,False
2017,2018,75,Best Original Song - Motion Picture,"""This Is Me"", Justin Paul, Benj Pasek",The Greatest Showman,True
2017,2018,75,Best Original Song - Motion Picture,"""Home"", Nick Jonas, Justin Tranter, Nick Monson",Ferdinand,False
2017,2018,75,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Phantom Thread,False
2017,2018,75,Best Original Score - Motion Picture,Jonny Greenwood,Phantom Thread,False
1995,1996,53,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Glenn Close,Serving in Silence: The Margarethe Cammermeyer Story,False
1995,1996,53,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Judy Davis,Serving in Silence: The Margarethe Cammermeyer Story,False
2018,2019,76,Best Original Score - Motion Picture,Alexandre Desplat,Isle of Dogs,False
